content_traduzido,sentiment,sentiment_polarity,spacy_lemma
app shopee razoavel apesar facil utilizar apresenta alguns bugs exemplo sugestao palavra errada campo pesquisa acarreta busca errada sugestoes produtos nao nada ver coisas interesse dificuldade acesso alguns jogos travamento durante alguma jogada falhas carregar certos anexos avaliacao produtos geral sao problemas pode contornar pois nao ocorrem tanta frequencia,sadness,positive,"['app', 'shopee', 'razoavel', 'apesar', 'facil', 'utilizar', 'apresentar', 'bugs', 'exemplo', 'sugestao', 'palavra', 'errar', 'Campo', 'pesquisa', 'acarreto', 'busco', 'errar', 'sugestoes', 'produto', 'ver', 'coisa', 'interesse', 'dificuldade', 'acesso', 'jogo', 'travamento', 'jogada', 'falho', 'carregar', 'anexo', 'avaliacao', 'produto', 'geral', 'problema', 'poder', 'contornar', 'ocorr', 'frequencia']"
app bem otimizado facil visualizar produtos pedidos rastreio interface intuitiva porem existem incomodos acho principal ma recomendacao produtos vezes aparece uns produtos nao deveriam aparecer nao nada ver pesquisado ate entao brinquedos sexuais incomoda pouco porem nao atrapalha completo utilizacao app geral app bom loja geral tambem faz bom trabalho,sadness,positive,"['appr', 'bem', 'otimizar', 'facil', 'visualizar', 'produto', 'pedido', 'intuitivo', 'por', 'existem', 'incomor', 'achar', 'principal', 'ma', 'recomendacao', 'vez', 'aparecer', 'produto', 'dever', 'aparecer', 'ver', 'pesquisar', 'entao', 'brinquedo', 'sexual', 'incomodo', 'pouco', 'por', 'atrapalhar', 'completo', 'utilizacao', 'geral', 'app', 'bom', 'loja', 'geral', 'tambem', 'fazer', 'bom', 'trabalho']"
app bom pratico facil entender porem alguns vendedores mandam produtos apesar bem semelhantes anuncio ainda la diferencas celulares fracos vezes app fecha sozinho trava chegando abrir vezes poderia leve otimizado dispositivos fracos app otimo excelentes produtos simples usar,sadness,positive,"['app', 'bom', 'pratico', 'facil', 'entender', 'por', 'vendedor', 'mandar', 'produto', 'apesar', 'bem', 'semelhante', 'anuncio', 'ainda', 'diferenco', 'celular', 'fraco', 'vez', 'App', 'fechar', 'sozinho', 'trar', 'chegar', 'abrir', 'vez', 'poder', 'leve', 'otimizar', 'dispositivo', 'fraco', 'appr', 'excelente', 'produto', 'simples', 'usar']"
aplicativo bom algo chateou bastante fato pesquisar produto colocar cep aparece frete gratis bem baratinho acima frete gratuito comprei produtos valores altos coloquei carrinho fechei pedido apareceu valores altos frete deu vontade desistir compra precisava acabei comprando acho deveriam informar valor correto momento pesquisa colocamos cep,sadness,positive,"['aplicativo', 'bom', 'chatear', 'bastante', 'fato', 'pesquisar', 'produto', 'colocar', 'cep', 'aparecer', 'frete', 'bem', 'baratinho', 'acima', 'frete', 'gratuito', 'comprei', 'produto', 'valor', 'alto', 'coloquei', 'carrinho', 'pedir', 'aparecer', 'valor', 'alto', 'frete', 'dar', 'vontade', 'desistir', 'compra', 'precisar', 'acabar', 'comprar', 'achar', 'dever', 'informar', 'valor', 'correto', 'momento', 'pesquisa', 'colocamos', 'cep']"
app bom porem tido dificuldades pagamento cartao credito apos fazer compra pix altero meio pagamento porem chega parte colocar codigo cartao trava nao sai daquela area ja deixei fazer muitas compras conta disso puderem concertar bug otimo consumidores,disgust,negative,"['app', 'bom', 'por', 'ter', 'dificuldade', 'pagamento', 'cartao', 'credito', 'apo', 'fazer', 'compra', 'alterar', 'meio', 'pagamento', 'por', 'chegar', 'parte', 'colocar', 'codigo', 'cartao', 'trar', 'sair', 'areo', 'deixeir', 'fazer', 'compra', 'contar', 'puder', 'concertar', 'bug', 'otimo', 'consumidor']"
bom app porem fica travando pouco ate hora concluir compra ai precisa sair entrar novamente precisaria melhor plataforma bom passando dizer melhoras finalizacao compra super rapida adorei opcao parcelar rosto risonho olhos bem abertos,happiness,positive,"['bom', 'app', 'por', 'ficar', 'travar', 'pouco', 'hora', 'concluir', 'compra', 'precisar', 'sair', 'entrar', 'novamente', 'precisario', 'bom', 'plataforma', 'bom', 'passar', 'dizer', 'melhora', 'finalizacao', 'compra', 'super', 'raper', 'adorar', 'opcao', 'parcelar', 'rosto', 'risonho', 'olho', 'bem', 'aberto']"
gostado bastante app acredito decorrencia atualizacoes app parou travar durante inicializacao neste momento inicio app muita agilidade quanto produtos consigo encontrar excelentes precos qualidades tambem,happiness,positive,"['gostar', 'bastante', 'app', 'acreditar', 'decorrenciar', 'parar', 'travar', 'inicializacao', 'momento', 'inicio', 'app', 'agilidade', 'quanto', 'produto', 'com si', 'encontrar', 'excelente', 'preco', 'qualidade', 'tamber']"
adoro tudo voce pensar promocoes frete sao diferencial desse app pessoas colaboram sentido avaliar produtos fotos videos alem comentarios facilita identificar qualidade hora escolher comprar ja fiz varias compras grande maioria fiquei satisfeita,happiness,positive,"['adorar', 'pensar', 'promocoes', 'frete', 'diferencial', 'pessoa', 'colabor', 'sentido', 'avaliar', 'produto', 'foto', 'video', 'aler', 'comentario', 'facilitar', 'identificar', 'qualidade', 'hora', 'escolher', 'comprar', 'fiz', 'compra', 'grande', 'maioria', 'fiquei', 'satisfeito']"
app bom algumas mercadorias sao realmente qualidade preco justo chega prazo vezes antes agora peguei tentando rastrear pedido fiz nao sei faz rosto deprimido site correios nao aceita pq numero rastreamento padrao vez marcado pra chegar data agora mudou radicalmente alguem saiba sobre rastreamento gostando comprei muitas coisas qualidade,sadness,positive,"['app', 'bom', 'mercadoria', 'sao', 'realmente', 'qualidade', 'preco', 'justo', 'chegar', 'prazo', 'vez', 'antes', 'agora', 'peguei', 'tentar', 'rastrear', 'pedir', 'saber', 'fazer', 'rosto', 'deprimido', 'site', 'Correios', 'aceitar', 'numero', 'rastreamento', 'vez', 'marcar', 'chegar', 'data', 'agora', 'mudar', 'radicalmente', 'alguir', 'saiba', 'rastreamento', 'gostar', 'comprei', 'coisa', 'qualidade']"
problema inicial nao conseguir enviar mensagens chat tirar duvidas sobre produtos vendedores abri ajuda fiz todos passos orientacoes atendimento desistalar reinstalar app funcionar porem funcionou somente naquele dia dia seguinte voltou problema terca tambem tentei reclamar produto recebi nao consigo pois chat nao vai hoje ja reinstalei vezes app reconhece codigo whatsapp sms,anger,negative,"['problema', 'inicial', 'conseguir', 'enviar', 'mensagem', 'chat', 'tirar', 'duvida', 'produto', 'vendedor', 'abri', 'ajudar', 'fiz', 'passo', 'atendimento', 'desistalar', 'reinstalar', 'app', 'funcionar', 'por', 'funcionar', 'somente', 'dia', 'dia', 'seguinte', 'voltar', 'problema', 'terca', 'tambem', 'tentar', 'reclamar', 'produto', 'recebi', 'consigo', 'pois', 'hoje', 'Reinstalei', 'vez', 'app', 'reconhecer', 'codigo', 'sms']"
